老师编号,老师工号,老师姓名,常带课程,可带课程
2184,T1184,崔芸环,国际政治,会计学B；现代医学基础
2185,T1185,鲍盛晟,建筑史工业,儿童文学；物理化学；工程制图
2186,T1186,惠桂菁,教育学概论,教育论；教育哲学；教育心理学
2187,T1187,农为棠,考古学通论,机织学；马克思主义政治经济学
2188,T1188,禄燕香,人体解剖学,组织胚胎学；细胞生物学
2189,T1189,元勤媛,分析力学,理论力学
2190,T1190,强亨福,人体解剖学A,财务管理；大气探测学；对待贸易概论
2191,T1191,陆竹月,塑性力学,生理学B2；德育原理；中国工艺美术史
2192,T1192,解来昌,地质学A,地质学B1
2193,T1193,贾妹娜,森林生态学,测量与遥感
2194,T1194,蓝鹏帆,普通化学B,普通化学A
2195,T1195,袁颖珍,地质学C,食品工厂设计基础；数字信号处理；电机维修
2196,T1196,山婉仪,中国诗词欣赏,中国诗词欣赏；中国诗词文化
2197,T1197,宫庆哲,乐理学A2,几何代数；构造地质学；常微分方程
2198,T1198,相瑗艳,外国教育史,口腔解剖生理学；舞蹈欣赏
2199,T1199,朱敬采,空气动力学,空
2200,T1200,宦策思,幼儿保健学,舞蹈；学前卫生学
2201,T1201,山贞燕,营销学,国际商法；海洋测绘；推拿临床治疗学
2202,T1202,金梁政,国际商务案例,工程结构；中国艺术设计史；微生物学与免疫学
2203,T1203,杜玉婕,幼儿保健学,声乐；舞蹈；学前卫生学
2204,T1204,班勇洁,普通心理学,马克思主义政治经济学；国际商务谈判；乐理学A2
2205,T1205,臧瑗君,海洋调查与观测技术,生物海洋学；海洋地质学
2206,T1206,宁向坤,大学生物B,森林植物学；海洋测绘
2207,T1207,阎远晨,建筑材料,混凝土结构；工程结构
2208,T1208,全真君,普通心理学,教育心理学
2209,T1209,杭卫刚,宪法,工程热力学；乐理学A1
2210,T1210,伏希树,农学A；农学B；园艺,植物保护；植物科学与技术
2211,T1211,裘茂业,教育哲学,地球化学；知识产权法
2212,T1212,仰兰育,计算机软件技术基础,中医古典医籍；工程地质学；中国艺术设计史
2213,T1213,成可璧,断裂力学,塑性力学；流体力学；空气动力学
2214,T1214,申菊珍,物理实验,交通运输企业管理；汉语言文学A
2215,T1215,文泽恩,弹性力学,地球物理及勘探方法；理论力学
2216,T1216,房秋卿,幼儿心理学,声乐；学前卫生学
2217,T1217,干辰钦,交通运输法则,几何代数；汉语言文学A；食品营养与卫生
2218,T1218,童翠菲,乐理基础,舞蹈欣赏；交响乐欣赏；舞蹈
2219,T1219,蒙善安,民事诉讼法,森林昆虫学；工程地质学；教育学概论
2220,T1220,终伊凤,国际金融,世界经济学
2221,T1221,方纨筠,生物化学与分子生物学,行政法与行政诉讼法；幼儿保健学；高等数学A
2222,T1222,狄登松,外贸英语A,中国艺术设计史；消防工程；国际金融
2223,T1223,巴龙飞,教育心理学,教育论；教育哲学
2224,T1224,惠帆致,中国近代史,中国古代史；中国语言文学；中国诗词欣赏
2225,T1225,双泓月,国际金融,国际商务案例；对外贸易概论
2226,T1226,殷凤中,哲学概论,马克思主义哲学原理
2227,T1227,项凤馨,针织学,外国艺术设计史；新闻学
2228,T1228,朱晓黛,动物科学,蚕学；蜂学；ps
2229,T1229,苗选承,纺织品设计学,离散数学；生物化学；海洋技术
2230,T1230,夔羽岚,刺灸学,地球化学；刑事诉讼法；生物海洋学
2231,T1231,习昌策,建筑材料,混凝土结构；钢结构；工程结构
2232,T1232,鄂云倩,法理学；宪法,中国法制史；民法；商法
2233,T1233,廖融丹,国际贸易B,会计学C；运筹学；妇产科护理学
2234,T1234,林棠振,外国工艺美术史,构造地质学；护理学基础B；纤维材料化学
2235,T1235,余继亨,新闻传播三大类,新闻学
2236,T1236,柳悦仪,伦理学,隐身技术；热工；海洋测绘
2237,T1237,燕菲婷,逻辑学,人体解剖学；逻辑学；计算机软件技术基础
2238,T1238,乜进凤,医学遗传学,口腔内科学；行政法与行政诉讼法；现代医学基础
2239,T1239,孔馥琳,分析力学,塑性力学；商务英语；地质学C
2240,T1240,那枝滢,理论力学,实验力学；弹性力学
2241,T1241,燕舒蓉,国际贸易务实,国际贸易运输与保险；外贸制单与结汇
2242,T1242,贾兴克,弹性力学,自动控制理论；外贸英语B；高等测量平差
2243,T1243,云茜咏,有机化学,马克思主义哲学原理；电力紫铜自动化装置；蜂学
2244,T1244,解滢菊,地球化学,构造地质学；结晶矿物学
2245,T1245,养昊宏,塑性力学,断裂力学；流体力学；物理学
2246,T1246,干枝妹,历史地理学,乐理学B2；机械制图B
2247,T1247,养筠兰,现代控制理论,德育原理；混凝土结构；教育论
2248,T1248,束浩敬,健康评估,智能建筑概论；工程地质学；大学物理B2
2249,T1249,勾骏峰,有机化学A,内科护理学；食品营养与卫生
2250,T1250,卫燕芸,乐理基础,舞蹈欣赏；交响乐欣赏；舞蹈
2251,T1251,储映有,生物学基础,农牧业生产基础
2252,T1252,水荣瑶,交响乐欣赏,中小学教学法；计算机仿真技术；儿科护理学
2253,T1253,鄂琼春,传播学,自动控制理论；乐理学B2；蚕学
2254,T1254,饶风迎,森林昆虫学,食品添加剂；空间测理论与技术；几何代数
2255,T1255,甄材若,岩土力学,电路原理；国际贸易务实
2256,T1256,酆以广,宏观经济学,外国语言文学；教育社会学
2257,T1257,空娥玉,罐头食品加工与软饮料工艺学,工程力学B；中国近代史；外科护理学
2258,T1258,贲思蓓,国际私法,国际贸易务实；天体力学；大学生物A
2259,T1259,舒琴凡,舞蹈欣赏,地球物理及勘探方法；儿科护理学；中国艺术设计史
2260,T1260,姜舜安,大气科学概论A,大气科学概论B1
2261,T1261,戈勇聪,口腔内科学,运动控制；环境控制
2262,T1262,计锦咏,对外贸易概论,罐头食品加工与软饮料工艺学；核动力装置；古代汉语
2263,T1263,咸棠城,大地测量学基础；地球物理大地测量学,空间测理论与技术
2264,T1264,田骏逸,外贸英语A,操作系统；大气科学概论B2；艺术设计学
2265,T1265,幸瑞瑗,教育论,工程热力学；天体力学；建筑与城市摄影
2266,T1266,栾馨苑,建筑设计C,生理学A；大学物理B1；天气学
2267,T1267,简勤菲,大学体育,交通管理工程；儿童文学
2268,T1268,霍和恒,对外贸易概论,国际商务案例；国际金融
2269,T1269,于贞月,艺术设计基础,艺术设计基础；教学论；现代控制理论
2270,T1270,潘婉红,哲学概论,马克思主义哲学原理
2271,T1271,能翠娴,国际私法,计算机软件技术基础；人体解剖学A；乐理学B1
2272,T1272,欧咏鹏,大地测量学基础；地球物理大地测量学,空间测理论与技术
2273,T1273,郭叶园,交响乐欣赏,实验力学；建筑设计B1
2274,T1274,栾正磊,法理学；宪法,中国法制史；民法；商法
2275,T1275,黎聪叶,罐头食品加工与软饮料工艺学,生态与可持续发展经济学；纺织品设计学
2276,T1276,殳茂同,有机化学A,有机化学B
2277,T1277,温聪育,历史地理学,生物力学；植物科学与技术；艺术设计概论
2278,T1278,祁菲芬,航空仪表,乐理学B1；大学物理B2；可持续建筑
2279,T1279,冯妹嘉,工程力学A1,工程力学B
2280,T1280,程滢爱,外国艺术设计史,林木病理学；传播学
2281,T1281,甄勤育,中国工艺美术史,农牧业生产基础；生理学A；感测技术
2282,T1282,皮丽莎,儿科护理学,普通心理学；飞机维修；人体解剖学B
2283,T1283,金霞兰,空气动力学,地质学A；教育哲学；普通心理学
2284,T1284,蔺雄林,交通管理工程,教育论；史学导论；可持续建筑
2285,T1285,萧行棠,国际金融,世界经济学
2286,T1286,仇玲菲,劳动与社会保障,大学英语听说教程；交通港站与枢纽；大气探测学
2287,T1287,隆姣咏,电气控制与PLC技术,建筑设计；德育原理
2288,T1288,文晶梅,分析力学,理论力学
2289,T1289,米韵眉,建筑材料,工程制图；地基与基础
2290,T1290,戈纯娟,计算机网络系统,教育论；建筑设计B2
2291,T1291,伏洁宜,中国语言文学,营销学；物理化学
2292,T1292,牛琳翠,知识产权法,空
2293,T1293,郁巧菲,世界经济学,航空航天动力装置；空间测理论与技术；国际商务谈判
2294,T1294,卓毓素,生物化学,商务英语；操作系统；建筑师业务基础
2295,T1295,俞怡菁,大气科学概论,大气探测学；天气学
2296,T1296,滕君善,电力电子技术,电气控制与PLC技术；运动控制
2297,T1297,彭悦滢,信号与系统,感测技术
2298,T1298,焦威磊,口腔内科学,空间测理论与技术；教育论；中国诗词欣赏
2299,T1299,华来瑞,钢结构,工程制图；混凝土结构；工程结构
2300,T1300,司颖瑗,测试技术,机械设计基础；电工与电子技术基础理论
2301,T1301,臧来议,断裂力学,织物组织学；传播学
2302,T1302,都明可,古代汉语,传热；海洋科学导论；数据结构
2303,T1303,文勤月,普通逻辑学,计量经济学；生物力学
2304,T1304,尚荔云,海洋技术,中国工艺美术史；反应堆工程管理；中医诊断学
2305,T1305,厉婷姬,汉语言文学A,建筑设计B1；普通心理学；罐头食品加工与软饮料工艺学
2306,T1306,农科斌,财政学；计量经济学,国际金融；数理统计
2307,T1307,余柔彩,天气学,教育社会学；植物生理学；天气学
2308,T1308,扶琦荔,中外城市建筑史,大学计算机基础；织物组织学；中药学
2309,T1309,武青莎,有机化学A,宗教学；森林植物学；跆拳道
2310,T1310,蓟邦正,地基与基础,交通运输技术管理；微观经济学；推拿临床治疗学
2311,T1311,查金业,纺织化学,纤维材料学
2312,T1312,红营辰,外国工艺美术史,人体解剖学C；地球化学
2313,T1313,侯竹娅,幼儿保健学,生物学基础；航空仪表；教育社会学
2314,T1314,燕红莲,传播学,电工电子技术；交通运输技术管理；形式与政策
2315,T1315,都媛琬,大学生物B,大学物理C；纤维材料化学；结晶矿物学
2316,T1316,祖露菊,海洋测绘,宏观经济学；大气探测学
2317,T1317,厍妍勤,海洋测绘,马克思主义哲学；地质学；中国诗词欣赏
2318,T1318,邢妍露,运动控制,宪法；电磁场理论；外贸制单与结汇
2319,T1319,那恒树,经络学,刺灸学；针灸临床治疗学
2320,T1320,柴淑静,儿童文学,声乐；舞蹈；学前卫生学
2321,T1321,邬梦亚,普通心理学,数字信号处理；电子技术基础
2322,T1322,苗菊菲,安全防范工程,治安系；交通管理工程
2323,T1323,辛 筠,普通化学B,食品工厂设计基础；混凝土结构
2324,T1324,丁妹爱,植物保护,植物科学与技术；园艺
2325,T1325,耿彩育,推拿临床治疗学,中国史；刺灸学；天气学
2326,T1326,孔威以,建筑设计A,概率论；中级财政会计管理会计成本会计；感测技术
2327,T1327,闻民迅,经络学,刺灸学；针灸临床治疗学
2328,T1328,艾眉洁,宗教学,宏观经济学；信号与系统；遥感技术
2329,T1329,巴彬材,口腔内科学,口腔修复学
2330,T1330,邬璧月,海洋调查与观测技术,生物海洋学；海洋地质学
2331,T1331,弓凡霞,中药学,测量与遥感；计算机技术
2332,T1332,沃冠策,大气科学概论A,毛泽东思想；古代汉语
2333,T1333,常荔瑶,管理学,中医诊断学；毛泽东思想；大地测量学基础
2334,T1334,范琦玲,国际金融,外贸英语函电；交通管理工程；环境控制
2335,T1335,巴思茗,交通运输法则,弹性力学；艺术设计概论
2336,T1336,贺艳纯,实变与泛函,管理数学；机械制图A；幼儿保健学
2337,T1337,吕元坤,农牧业生产基础,生物学基础
2338,T1338,鄂才绍,外国工艺美术史,热工；营销学
2339,T1339,慎群礼,反应堆工程原理,热工；传热
2340,T1340,路 环,中国哲学史；西方哲学史,中外哲学原著导读
2341,T1341,龙城超,生物化学与分子生物学,财政学；大学英语；大地测量学基础
2342,T1342,蒙兴善,图像识别,人体解剖学；测量与遥感；航空宇航制造工程
2343,T1343,钟茜婵,儿童文学,学前卫生学
2344,T1344,谷慧艺,环境控制,国际营销学；人体解剖学A；地质学B2
2345,T1345,余言恒,数字信号处理,编译技术；操作系统；数据结构
2346,T1346,全发良,数字信号处理,编译技术；操作系统；数据结构
2347,T1347,班维威,有机化学,对待贸易概论；艺术设计基础
2348,T1348,葛生中,空气动力学,中国哲学史；古建筑保护；幼儿保健学
2349,T1349,乌升坚,几何代数,马克思主义政治经济学；国际商务谈判
2350,T1350,廖芝淑,操作系统,编译技术；数据结构
2351,T1351,燕镇杰,混凝土结构,工程制图；钢结构
2352,T1352,咸梅竹,护理学基础A,普通心理学；蜂学
2353,T1353,贲进春,形式与政策,外贸英语A；大地测量学基础
2354,T1354,水荣倩,国际金融,国际商务案例；对外贸易概论
2355,T1355,吉荣春,断裂力学,塑性力学；流体力学；物理学
2356,T1356,卻艳融,国际商务案例,安全防范工程；建筑设计A；国际政治
2357,T1357,车钦风,钢结构,工程制图；混凝土结构；工程结构
2358,T1358,全倩婵,森林昆虫学,声乐；人体解剖学C；WTO规则
2359,T1359,路强贤,新闻学,构造地质学；药理学；人体解剖学A
2360,T1360,滕翰保,口腔内科学,有机化学；操作系统；感测技术
2361,T1361,秦锦民,数字信号处理,编译技术；操作系统；数据结构
2362,T1362,汤雅月,纺织化学,逻辑学；国际贸易A
2363,T1363,殳政才,高等数学B,乐理学B2；中国史
2364,T1364,饶亚咏,宪法,儿科护理学；外国艺术设计史；新闻传播三大类
2365,T1365,容岚薇,中药学,大地测量学基础；常微分方程；儿童文学
2366,T1366,花悦姬,行政法与行政诉讼法,民事诉讼法；刑事诉讼法
2367,T1367,甘菊园,历史地理学,电工与电子技术基础理论；商法；智能建筑概论
2368,T1368,乔璟山,乐理学B2,交通运输企业管理；动物科学
2369,T1369,石黛枝,机械制图A,地球化学；史学导论；健康评估
2370,T1370,元林臻,艺术考古学,艺术设计基础
2371,T1371,田爱婷,西方史学史,外科护理学；乐理基础；运筹学
2372,T1372,尤奎顺,乐理学A2,妇产科护理学；国际商务案例
2373,T1373,郜采金,古建筑保护,乐理学A2；植物科学与技术；国际贸易A
2374,T1374,沈霖若,药理学,大学计算机基础；植物生理学；组织胚胎学
2375,T1375,山琛志,大气科学概论B2,口腔解剖生理学；外国工艺美术史；外贸英语函电
2376,T1376,吉宪波,法理学；宪法,中国法制史；民法；商法
2377,T1377,桂荣永,口腔组织病理学,口腔解剖生理学；口腔修复学；口腔内科学
2378,T1378,喻香眉,大学体育,计算机网络系统；艺术考古学；计量经济学
2379,T1379,廉瑶娥,中国教育史,国际政治；外贸英语A
2380,T1380,浦颜雄,乐理基础,舞蹈欣赏；交响乐欣赏；舞蹈
2381,T1381,东光阳,宪法,飞行器结构力学；理论力学
2382,T1382,童新曦,普通心理学,教育心理学
2383,T1383,幸秋莺,运动控制,地质学B1；传热；哲学概论
2384,T1384,张可云,地球物理及勘探方法,海洋调查与观测技术；海洋地质学
2385,T1385,潘芬荣,动物科学,蚕学；蜂学；ps
2386,T1386,弓璧娴,舞蹈,声乐；学前卫生学
2387,T1387,滑谋基,电子技术基础,数学分析；刺灸学；中医学基础B
2388,T1388,雍荣嘉,生理学；病理学,药理学；健康评估
2389,T1389,伊隆清,财务管理,建筑材料；大气科学概论
2390,T1390,阴露仪,中国诗词欣赏,中国语言文学；中国诗词文化
2391,T1391,干胜易,生物技术,森林昆虫学；林木病理学
2392,T1392,巴林晓,电路理论,反应堆工程管理；教育论
2393,T1393,孟姣璧,教育论,劳动与社会保障；普通心理学
2394,T1394,何凡冰,马克思主义政治经济学,口腔修复学；几何代数；WTO规则
2395,T1395,缪雪飘,传热,消防工程；电工与电子技术基础理论；计算机绘图
2396,T1396,巴城励,信号与系统,感测技术
2397,T1397,郁爽希,岩土力学,工程制图；地基与基础
2398,T1398,广博廷,生态与可持续发展经济学,建筑设计；会计学B
2399,T1399,季芸珍,机织学,地球物理及勘探方法；分析化学
2400,T1400,贺映树,海洋地质学,生物海洋学；海洋调查与观测技术
2401,T1401,饶飞英,生物技术,森林昆虫学；林木病理学
2402,T1402,桂越洁,伦理学；宗教学,逻辑学
2403,T1403,华谋棠,国际贸易B,国际贸易A
2404,T1404,阎起晓,地基与基础,地质学B1；治安系；知识产权法
2405,T1405,扶平厚,人体解剖学,流体力学；史学导论
2406,T1406,段涛江,新闻传播三大类,新闻学
2407,T1407,武菲巧,财务管理,营销学；大学物理B2；交通港站与枢纽
2408,T1408,裴威刚,海洋科学导论,建筑与城市摄影；海洋地质学
2409,T1409,卜议锦,舞蹈,口腔组织病理学；医学遗传学
2410,T1410,霍君才,测试技术,机械设计基础；电工与电子技术基础理论
2411,T1411,充澜媛,交通港站与枢纽,交通运输法规
2412,T1412,崔中兴,建筑师业务基础,天体力学；计算机软件技术基础
2413,T1413,从宪儒,外科护理学,大学生物C；食品营养与卫生
2414,T1414,范琼云,航空航天动力装置,物理化学；地基与基础；农学B
2415,T1415,陆谦韵,操作系统,编译技术；数据结构
2416,T1416,辛欣亭,全球动力力学,工程力学A2；计算机软件技术基础；工程结构
2417,T1417,方彰松,断裂力学,运筹学；公共事业管理；国学经典
2418,T1418,寿月瑗,钢结构,电子技术基础；教育社会学；概率论
2419,T1419,耿娟思,军事海洋学,海洋技术
2420,T1420,侯立震,教学论；德育原理,教育社会学
2421,T1421,赵江牧,电路理论,蜂学；大学生物B；教育论
2422,T1422,宰东树,乐理基础,国际金融；农学B；中医内科学
2423,T1423,冯姣聪,科学技术哲学,实践性教学环节
2424,T1424,邢晓冰,交通港站与枢纽,交通运输法规
2425,T1425,步钊旭,哲学概论,普通逻辑学；马克思主义政治经济学；常微分方程
2426,T1426,姜锦希,乐理学C,推拿临床治疗学；逻辑学
2427,T1427,霍威心,国际贸易务实,军事海洋学；海洋调查与观测技术；舞蹈欣赏
2428,T1428,孔晔辰,乐理基础,中国断代史；大学生物B；对待贸易概论
2429,T1429,嵇瑞彩,运动控制,地质学B2；中国哲学史；教育社会学
2430,T1430,谷彰希,反应堆工程原理,热工；传热
2431,T1431,水丹红,国际法,国际私法；国际政治
2432,T1432,边瑾颖,护理学基础A；护理学基础B,内科护理学；外科护理学
2433,T1433,印星致,航空航天概论,计算机原理及应用；马克思主义哲学
2434,T1434,麻礼越,宏观经济学,微观经济学；人口经济学
2435,T1435,包希荣,乐理学A1,儿童文学；史学导论
2436,T1436,傅涛进,国学经典,WTO规则；工程水文学；物理学
2437,T1437,胥枝洁,劳动与社会保障,艺术设计概论；大学化学；世界经济学
2438,T1438,戴臻富,乐理学B2,法理学；程序设计基础
2439,T1439,季发帅,幼儿保健学,舞蹈；学前卫生学
2440,T1440,茹丽娅,妇产科护理学,儿科护理学
2441,T1441,郦怡月,大学英语,科学技术哲学；乐理学D；中医学基础A
2442,T1442,井祥元,纺织导论,外国艺术设计史；新闻学
2443,T1443,雍伯若,妇产科护理学,外国教育史；乐理学B1
2444,T1444,那亿振,教育社会学,地基与基础；中药学；物理学
2445,T1445,樊珂津,材料科学基础,分析化学；物理化学
2446,T1446,戈永林,建筑材料,钢结构；大学生物A
2447,T1447,康丹聪,宏观经济学,消防工程；电磁场理论；地球化学
2448,T1448,蔡 欢,工程结构,测量与遥感；大学英语听说教程；核动力装置
2449,T1449,边文泰,航空宇航制造工程,航空航天动力装置；隐身技术；飞机维修
2450,T1450,雍红素,海洋地质学,生物海洋学；海洋调查与观测技术
2451,T1451,古环昭,汉语言文学A,乐理学B2；管理学；森林昆虫学
2452,T1452,茅平才,中国语言文学,临床医学；生理学A
2453,T1453,钮超函,财政学,普通心理学；数理统计；纺织品设计学
2454,T1454,岑坤雄,数学分析,织物组织学；教学论
2455,T1455,秋科哲,国际商务案例,国际金融；对外贸易概论
2456,T1456,连枫琦,民事诉讼法,热工；纺织化学；国际贸易B
2457,T1457,蔡纨颖,会计学A；会计学B；会计学C,财政学
2458,T1458,乐玲琳,编译技术,数据结构；操作系统；数字信号处理
2459,T1459,朱理豪,艺术设计基础,国际贸易运输与保险；大气科学概论B1；天体力学
2460,T1460,乜蓉梅,纺织化学,纤维材料学
2461,T1461,麻菲琼,传播学,妇产科护理学；大学物理B1；大学计算机基础
2462,T1462,糜安基,中国诗词欣赏,中国诗词文化
2463,T1463,濮先德,国际金融,国际商务案例；对外贸易概论
2464,T1464,傅隆浩,园艺,西方史学史；高等数学A
2465,T1465,糜隆珂,幼儿心理学,声乐；舞蹈；学前卫生学
2466,T1466,简致春,岩土力学,可持续建筑；法理学；教育论
2467,T1467,应君佳,电力电子技术,电气控制与PLC技术；运动控制
2468,T1468,养枫怡,农学B,遥感技术；推拿临床治疗学；生物力学
2469,T1469,卜韵园,数据结构,工程力学B；中医学基础B
2470,T1470,鄂梁蒙,大学物理B1,森林植物学；逻辑学
2471,T1471,暨卿彩,针灸临床治疗学,经络学；刺灸学；推拿临床治疗学
2472,T1472,靳臻功,生理学A,人体解剖学A；国际商务谈判；地质学C
2473,T1473,庞融荣,建筑设计B1,建筑设计A
2474,T1474,宰姣卿,地质学B2,食品添加剂；教育论；宪法
2475,T1475,梅悦聪,教育学概论,建筑师业务基础；物理学；核动力装置
2476,T1476,邱力亭,宏观经济学,微观经济学；人口经济学
2477,T1477,蓝芸雅,材料科学基础,分析化学；物理化学
2478,T1478,尚姣竹,微生物学与免疫学,操作系统；新闻学；艺术设计概论
2479,T1479,平淑毓,构造地质学,生物化学；商法；计算机仿真技术
2480,T1480,赖岚菊,中级财政会计管理会计成本会计,制丝学；计算机绘图；针灸临床治疗学
2481,T1481,璩宁梅,航空宇航制造工程,宗教学；民事诉讼法；大学物理C
2482,T1482,暴力业,海洋科学导论；生物海洋学,海洋地质学；海洋调查与观测技术
2483,T1483,廉昭贤,海洋科学导论,国际政治；外贸英语A
2484,T1484,程绍高,商法,口腔组织病理学；电工电子技术
2485,T1485,封卫群,伦理学；宗教学,逻辑学
2486,T1486,陆红韵,基础会计,军事海洋学；军事海洋学；中外哲学原著导读
2487,T1487,崔颜欣,中国古代史,食品工厂设计基础；营销学
2488,T1488,韦琬亚,建筑设计A；建筑设计B1;建筑设计B2;建筑设计C,智能建筑概论；建筑防灾
2489,T1489,费亿岚,运筹学,安全防范工程；地球化学
2490,T1490,曹以弘,机织学,建筑设计A；国际商务谈判
2491,T1491,乜骏誉,护理学基础A,护理学基础B
2492,T1492,贲艳晓,教学论,新闻学；国际法；方剂学
2493,T1493,关星谋,建筑师业务基础,可持续建筑
2494,T1494,李咏枝,幼儿保健学,舞蹈；学前卫生学
2495,T1495,石莲云,混凝土结构,中国断代史；混凝土结构；临床医学
2496,T1496,乜致垒,建筑设计B1,声乐；全球动力力学；传播学
2497,T1497,房欢眉,人体解剖学,电路理论；逻辑学
2498,T1498,刘津善,理论力学,大气科学概论；物理化学
2499,T1499,那悦娜,地球物理及勘探方法,有机化学；人体解剖学B
2500,T1500,后朔钢,热工,高等数学B；行政法与行政诉讼法
2501,T1501,能震保,物理化学,西方哲学史；中医学基础B；国际私法
2502,T1502,麻山有,流体力学,空气动力学；岩土力学；断裂力学
2503,T1503,梁亿琛,史学导论,国际商务案例；岩土力学；电路原理
2504,T1504,崔宏纪,建筑史工业,生态建筑概论；古建筑保护
2505,T1505,杜纪河,经络学,国际贸易B；舞蹈
2506,T1506,谷正彬,分析力学,流体力学；振动力学；实验力学
2507,T1507,富莎娥,临床药学,计量经济学；新闻学；生物学基础
2508,T1508,雍义泓,普通心理学,教育心理学
2509,T1509,苍荣等,护理学基础A,护理学基础B
2510,T1510,柳娥琦,钢结构,汉语言文学B；财务管理；中医内科学
2511,T1511,羿怡春,幼儿保健学,声乐；舞蹈；学前卫生学
2512,T1512,扶翠露,医学遗传学,微生物学与免疫学；病理学
2513,T1513,段纨姬,人体解剖学A,核动力装置；治安系；核动力装置
2514,T1514,隗婕瑗,流体力学,空气动力学；岩土力学；断裂力学
2515,T1515,曲薇悦,大学生物A,建筑设计B1；运动控制；刑事诉讼法
2516,T1516,封岚飘,建筑设计B2,国际贸易A；国际贸易B；交通运输法规
2517,T1517,弓备国,传热,微观经济学；智能建筑概论
2518,T1518,那勇坤,分析化学,材料科学基础
2519,T1519,宫议迅,地质学B1,有机化学B；劳动与社会保障；组织胚胎学
2520,T1520,雷聪岚,物理化学,智能建筑概论；刑事诉讼法；安全防范工程
2521,T1521,应静萍,空气动力学,财政学；农学B；传播学
2522,T1522,郏辉发,国际商务案例,国际金融；对外贸易概论
2523,T1523,连浩荣,宏观经济学,微观经济学；人口经济学
2524,T1524,欧红仪,物理化学,分析化学
2525,T1525,逄建冬,游泳,中国诗词文化；行政法与行政诉讼法；伦理学
2526,T1526,宣皓民,法理学,国学经典；植物生理学；电磁场理论
2527,T1527,窦薇纯,大气科学概论,大气探测学；天气学
2528,T1528,蒙鹏会,军事海洋学,外国教育史；科学技术哲学；人口经济学
2529,T1529,陈蕊媛,交通港站与枢纽,交通运输法规
2530,T1530,李秋荷,工程热力学,建筑防灾；中国诗词欣赏
2531,T1531,国洲会,国际金融,外科护理学；振动力学；物理化学
2532,T1532,吕焘腾,历史地理学,交响乐欣赏；机织学；大学生物A
2533,T1533,劳英苑,矿床学,反应堆工程原理；马克思主义哲学原理；生物力学
2534,T1534,穆庆君,制丝学,纺纱学；机织学；针织学
2535,T1535,骆敬津,地质学,大气科学概论A；大学英语
2536,T1536,史嘉红,工程力学A2,国学经典；国际商务谈判；西方史学史
2537,T1537,厍桂黛,考古学通论,罐头食品加工与软饮料工艺学；教育论；建筑设计C
2538,T1538,左群国,流体力学,空气动力学；岩土力学；断裂力学
2539,T1539,雷裕敬,中国哲学史；西方哲学史,中外哲学原著导读
2540,T1540,贲民明,大气科学概论B1,大学英语读写教程；刑事科学技术
2541,T1541,梅明发,人体解剖学,组织胚胎学；细胞生物学
2542,T1542,宿竹茗,海洋调查与观测技术,新闻学；财务管理
2543,T1543,惠益梁,口腔内科学,口腔修复学
2544,T1544,连晶荷,建筑材料,混凝土结构；钢结构；工程结构
2545,T1545,苗津力,电磁场理论,刑事科学技术；航空宇航制造工程
2546,T1546,姜凡姬,信号与系统,感测技术
2547,T1547,和群善,推拿临床治疗学,有机化学；乐理学A2；自动控制理论
2548,T1548,卢万臻,安全防范工程,中国教育史；教学论；大学化学
2549,T1549,祝信艺,分析化学,材料科学基础
2550,T1550,都娜丽,中国近代史；中国古代史,国学经典；形势与政策
2551,T1551,江元新,航空航天概论,断裂力学；舞蹈欣赏
2552,T1552,栾政晨,中国语言文学,中国近代史；中国古代史；中国诗词欣赏
2553,T1553,羊柔巧,伦理学,中国艺术设计史；大学英语听说教程
2554,T1554,孔蕊菲,分析化学,材料科学基础
2555,T1555,蓬弘纶,国际政治,药理学；普通化学B；儿科护理学
2556,T1556,水阳亭,生态建筑概论,测量与遥感；现代医学基础；中国工艺美术史
2557,T1557,慕朗俊,健康评估,教育哲学；工程力学A2；教育哲学
2558,T1558,裘安臻,乐理基础,普通化学A；地基与基础
2559,T1559,皮艳香,编译技术,乐理学D；行政管理
2560,T1560,阴莺岚,电力紫铜自动化装置,史学导论；教育通论；国际贸易A
2561,T1561,荆备鹏,核动力装置,流体力学
2562,T1562,索彰钦,地基与基础,工程制图；钢结构
2563,T1563,瞿枝蓉,对外贸易概论,国际商务案例；国际金融
2564,T1564,吉励皓,中外城市建筑史,大学化学；全球动力力学；乐理基础
2565,T1565,冯树时,地球化学,编译技术；生物海洋学；大气科学概论B2
2566,T1566,尹雪霞,交通运输设备,国际营销学；交通运输设备；数学分析
2567,T1567,萧安思,教育哲学,教育统计测量评价；中小学教学法
2568,T1568,薄锦菲,工程地质学,中医诊断学；教育心理学；伦理学
2569,T1569,鄂茗凝,工程力学A1,中国史；外贸英语A；蚕学
2570,T1570,冀誉仁,地质学A；地质学B1;地质学B2；地质学C,岩石学；矿床学
2571,T1571,从凡琦,高等数学B,复变函数；管理数学
2572,T1572,邢云卿,中国诗词欣赏,中国诗词文化
2573,T1573,季璐慧,织物组织学,教育社会学；森林昆虫学
2574,T1574,盛贤齐,刑事诉讼法,罐头食品加工与软饮料工艺学；食品工厂设计基础；刑事诉讼法
2575,T1575,岑弘光,人口经济学,中医内科学；外科护理学
2576,T1576,裘荷瑗,生物化学与分子生物学；大学生物,药理学；临床医学
2577,T1577,田叶惠,大地测量学基础,工程制图；中医古典医籍；中外哲学原著导读
